id,num_rep,num_rep_per,len_conversation,total_compound_conv,tot_pos_sen,tot_neg_sen,avg_w2v_score,sum_w2v_score,Is_satisfied
voip-0241bbae39-20130327_195830,7,0.5833333333333334,24,0.0,0.0,0.0,-0.002950099515839524,-0.06195208983263001,0
voip-0f41c16f2f-20130325_192310,4,0.6666666666666666,12,0.10275000000000001,0.3333333333333333,0.16666666666666666,-0.006210814346559346,-0.0683189578121528,0
voip-0f41c16f2f-20130325_193723,4,0.5714285714285714,14,0.04638571428571429,0.14285714285714285,0.14285714285714285,-0.0032949036,-0.04612865,0
voip-0f41c16f2f-20130325_204340,0,0.0,10,0.0,0.0,0.0,-0.005359273,-0.05359273,0
voip-0f41c16f2f-20130402_005414,4,0.5,16,0.0,0.0,0.0,-0.0071845306,-0.11495249,0
voip-0f41c16f2f-20130402_005804,0,0.0,6,0.0,0.0,0.0,-0.0060668946,-0.03640137,0
voip-0fa32b1e78-20130328_152422,12,0.6666666666666666,36,0.014084615384615383,0.15384615384615385,0.07692307692307693,-0.006565651059749403,-0.2297977870912291,0
voip-10beae627f-20130328_122107,9,0.75,24,-0.020440000000000003,0.2,0.2,-0.004234603624545822,-0.08045746886637062,0
voip-10beae627f-20130328_125615,13,0.5416666666666666,48,0.18746666666666667,0.4166666666666667,0.041666666666666664,-0.00542562647541571,-0.24415319139370695,0
voip-10beae627f-20130328_132217,18,0.6428571428571429,56,-0.016908,0.2,0.16,-0.005994991771876812,-0.2997495885938406,0
voip-10beae627f-20130328_164850,3,0.6,10,0.3447,0.6,0.0,-0.006304548,-0.06304548,0
voip-10beae627f-20130329_125733,6,0.2727272727272727,44,0.10779999999999998,0.42105263157894735,0.0,-0.00714639740804809,-0.3001486911380198,0
voip-10beae627f-20130401_164712,15,0.8333333333333334,36,0.12598571428571428,0.42857142857142855,0.0,-0.0025147625141578507,-0.08550192548136692,0
voip-13ff413553-20130328_172247,20,0.7692307692307693,52,0.11456666666666666,0.38095238095238093,0.047619047619047616,-0.005186412084824158,-0.24376136798673542,0
voip-14cb91bc48-20130327_182446,8,0.6153846153846154,26,0.03322,0.2,0.1,-0.005020894056651741,-0.12552235141629353,0
voip-14cb91bc48-20130327_190136,8,0.6153846153846154,26,-0.042570000000000004,0.0,0.3,-0.0034040514649611646,-0.07488913222914562,0
voip-15d8a89cec-20130327_021758,2,0.25,16,0.15794999999999998,0.375,0.125,-0.0052255597,-0.083608955,0
voip-187c1708f2-20130325_125747,3,0.3333333333333333,18,0.008577777777777778,0.1111111111111111,0.0,-0.0070645576,-0.12716204,0
voip-187c1708f2-20130325_130444,10,0.7142857142857143,28,0.005433333333333336,0.08333333333333333,0.08333333333333333,-0.006460521031000938,-0.1679735468060244,0
voip-187c1708f2-20130325_134928,7,0.4666666666666667,30,-0.0017363636363636364,0.0,0.09090909090909091,-0.007613670649930257,-0.22079644884797744,0
voip-199d62165b-20130402_124137,8,0.5714285714285714,28,0.05968571428571428,0.21428571428571427,0.07142857142857142,-0.005529873,-0.15483645,0
voip-202b6a3cc4-20130327_184449,4,0.5714285714285714,14,0.12295714285714286,0.2857142857142857,0.0,-0.004552942,-0.063741185,0
voip-22c938c8ba-20130325_124542,19,0.9047619047619048,42,-0.005413333333333337,0.26666666666666666,0.26666666666666666,-0.00801251474407955,-0.30447556027502287,0
voip-249d0f617b-20130328_162005,2,0.3333333333333333,12,0.06698333333333333,0.16666666666666666,0.0,-0.003955114,-0.04746137,0
voip-2c217000af-20130328_223847,5,0.625,16,0.14506249999999998,0.375,0.0,-0.0028342553,-0.045348085,0
voip-2d3d74d091-20130325_221539,3,0.375,16,-0.04432857142857143,0.14285714285714285,0.14285714285714285,-0.006290078,-0.10064125,0
voip-2d3d74d091-20130325_230144,5,0.625,16,-0.0387875,0.125,0.125,-0.007981317020797482,-0.11971975531196222,0
voip-2d3d74d091-20130328_182952,8,0.7272727272727273,22,0.06659,0.2,0.1,-0.006775435820025833,-0.12873328058049083,0
voip-2d3d74d091-20130328_192945,5,0.38461538461538464,26,0.06243846153846154,0.3076923076923077,0.07692307692307693,-0.0031736275388697245,-0.07299343339400366,0
voip-317a1436fe-20130325_142027,8,0.38095238095238093,42,0.02153333333333333,0.16666666666666666,0.05555555555555555,-0.006341686341329478,-0.2536674536531791,0
voip-317a1436fe-20130325_170800,4,0.5714285714285714,14,0.01102857142857143,0.14285714285714285,0.0,-0.0074484567,-0.10427839,0
