id,num_rep,num_rep_per,len_conversation,total_compound_conv,tot_pos_sen,tot_neg_sen,Is_satisfied
dsat\voip-0241bbae39-20130327_195830,7,0.5833333333333334,24,0.0,0.0,0.0,0
dsat\voip-0f41c16f2f-20130325_192310,4,0.6666666666666666,12,0.10275000000000001,0.3333333333333333,0.16666666666666666,0
dsat\voip-0f41c16f2f-20130325_193723,4,0.5714285714285714,14,0.04638571428571429,0.14285714285714285,0.14285714285714285,0
dsat\voip-0f41c16f2f-20130325_204340,0,0.0,10,0.0,0.0,0.0,0
dsat\voip-0f41c16f2f-20130402_005414,4,0.5,16,0.0,0.0,0.0,0
dsat\voip-0f41c16f2f-20130402_005804,0,0.0,6,0.0,0.0,0.0,0
dsat\voip-0fa32b1e78-20130328_152422,12,0.6666666666666666,36,0.014084615384615383,0.15384615384615385,0.07692307692307693,0
dsat\voip-10beae627f-20130328_122107,9,0.75,24,-0.020440000000000003,0.2,0.2,0
dsat\voip-10beae627f-20130328_125615,13,0.5416666666666666,48,0.18746666666666667,0.4166666666666667,0.041666666666666664,0
dsat\voip-10beae627f-20130328_132217,18,0.6428571428571429,56,-0.016908,0.2,0.16,0
dsat\voip-10beae627f-20130328_164850,3,0.6,10,0.3447,0.6,0.0,0
dsat\voip-10beae627f-20130329_125733,6,0.2727272727272727,44,0.10779999999999998,0.42105263157894735,0.0,0
dsat\voip-10beae627f-20130401_164712,15,0.8333333333333334,36,0.12598571428571428,0.42857142857142855,0.0,0
dsat\voip-13ff413553-20130328_172247,20,0.7692307692307693,52,0.11456666666666666,0.38095238095238093,0.047619047619047616,0
dsat\voip-14cb91bc48-20130327_182446,8,0.6153846153846154,26,0.03322,0.2,0.1,0
dsat\voip-14cb91bc48-20130327_190136,8,0.6153846153846154,26,-0.042570000000000004,0.0,0.3,0
dsat\voip-15d8a89cec-20130327_021758,2,0.25,16,0.15794999999999998,0.375,0.125,0
dsat\voip-187c1708f2-20130325_125747,3,0.3333333333333333,18,0.008577777777777778,0.1111111111111111,0.0,0
dsat\voip-187c1708f2-20130325_130444,10,0.7142857142857143,28,0.005433333333333336,0.08333333333333333,0.08333333333333333,0
dsat\voip-187c1708f2-20130325_134928,7,0.4666666666666667,30,-0.0017363636363636364,0.0,0.09090909090909091,0
dsat\voip-199d62165b-20130402_124137,8,0.5714285714285714,28,0.05968571428571428,0.21428571428571427,0.07142857142857142,0
dsat\voip-202b6a3cc4-20130327_184449,4,0.5714285714285714,14,0.12295714285714286,0.2857142857142857,0.0,0
dsat\voip-22c938c8ba-20130325_124542,19,0.9047619047619048,42,-0.005413333333333337,0.26666666666666666,0.26666666666666666,0
dsat\voip-249d0f617b-20130328_162005,2,0.3333333333333333,12,0.06698333333333333,0.16666666666666666,0.0,0
dsat\voip-2c217000af-20130328_223847,5,0.625,16,0.14506249999999998,0.375,0.0,0
dsat\voip-2d3d74d091-20130325_221539,3,0.375,16,-0.04432857142857143,0.14285714285714285,0.14285714285714285,0
dsat\voip-2d3d74d091-20130325_230144,5,0.625,16,-0.0387875,0.125,0.125,0
dsat\voip-2d3d74d091-20130328_182952,8,0.7272727272727273,22,0.06659,0.2,0.1,0
dsat\voip-2d3d74d091-20130328_192945,5,0.38461538461538464,26,0.06243846153846154,0.3076923076923077,0.07692307692307693,0
dsat\voip-317a1436fe-20130325_142027,8,0.38095238095238093,42,0.02153333333333333,0.16666666666666666,0.05555555555555555,0
dsat\voip-317a1436fe-20130325_170800,4,0.5714285714285714,14,0.01102857142857143,0.14285714285714285,0.0,0
dsat\voip-318851c80b-20130328_215616,8,0.8,20,0.0695375,0.375,0.0,0
dsat\voip-31de0daa7b-20130401_204621,11,0.55,40,0.0,0.0,0.0,0
dsat\voip-31de0daa7b-20130401_220217,17,0.8947368421052632,38,0.22579999999999997,0.5,0.0,0
dsat\voip-31de0daa7b-20130402_132633,11,0.7857142857142857,28,0.12034285714285713,0.42857142857142855,0.07142857142857142,0
dsat\voip-340dbb333e-20130325_230054,0,0.0,6,0.0,0.0,0.0,0
dsat\voip-340dbb333e-20130325_231020,0,0.0,10,0.323875,0.75,0.0,0
dsat\voip-340dbb333e-20130327_005751,10,0.7692307692307693,26,0.025084615384615386,0.15384615384615385,0.07692307692307693,0
dsat\voip-340dbb333e-20130327_010913,4,0.25,32,0.11855625,0.375,0.0625,0
dsat\voip-36440f7305-20130326_140559,13,0.8666666666666667,30,0.11731538461538463,0.3076923076923077,0.0,0
dsat\voip-381a50592b-20130326_042242,9,0.75,24,0.02205714285714286,0.2857142857142857,0.0,0
dsat\voip-39a25ab2f8-20130326_120841,7,0.6363636363636364,22,0.2113888888888889,0.5555555555555556,0.0,0
dsat\voip-39a25ab2f8-20130328_150729,3,0.5,12,0.10352000000000001,0.4,0.0,0
dsat\voip-39a25ab2f8-20130329_010257,6,0.5,24,0.04187272727272727,0.2727272727272727,0.09090909090909091,0
dsat\voip-3b3edac94d-20130324_201858,4,0.5714285714285714,14,-0.012866666666666667,0.0,0.16666666666666666,0
dsat\voip-3be3bda933-20130326_124519,13,0.5909090909090909,44,0.03108181818181818,0.22727272727272727,0.13636363636363635,0
dsat\voip-4660dd9eab-20130329_075906,3,0.3333333333333333,18,0.2085142857142857,0.5714285714285714,0.14285714285714285,0
dsat\voip-48c12815b3-20130326_011456,7,0.7,20,-0.0484375,0.0,0.125,0
dsat\voip-48c12815b3-20130326_034916,16,0.64,50,0.014786956521739133,0.21739130434782608,0.13043478260869565,0
dsat\voip-4a6ecc1f1c-20130329_152840,8,0.5333333333333333,30,0.08302142857142857,0.2857142857142857,0.07142857142857142,0
dsat\voip-4c0d36762a-20130328_201131,22,0.9166666666666666,48,0.0878611111111111,0.4444444444444444,0.2222222222222222,0
dsat\voip-50af5438f1-20130327_042937,6,0.375,32,-0.011308333333333337,0.25,0.25,0
dsat\voip-52d599db9c-20130323_074800,2,0.2222222222222222,18,0.060666666666666674,0.2222222222222222,0.0,0
dsat\voip-52d599db9c-20130323_075058,4,0.3076923076923077,26,-0.046638461538461545,0.07692307692307693,0.15384615384615385,0
dsat\voip-52d599db9c-20130326_213541,5,0.45454545454545453,22,0.06698333333333333,0.16666666666666666,0.0,0
dsat\voip-52eb280e7b-20130326_212546,6,0.5,24,0.008825,0.08333333333333333,0.08333333333333333,0
dsat\voip-52eb280e7b-20130326_214113,9,0.5294117647058824,34,0.02827333333333333,0.2,0.13333333333333333,0
dsat\voip-561b472540-20130328_124350,0,0.0,8,0.0,0.0,0.0,0
dsat\voip-5749b16764-20130328_150400,4,0.6666666666666666,12,0.06698333333333333,0.16666666666666666,0.0,0
dsat\voip-597cfafdee-20130402_004903,9,0.9,20,-0.01901,0.1,0.2,0
dsat\voip-597cfafdee-20130402_010156,7,0.875,16,0.1073625,0.375,0.125,0
dsat\voip-59bc8a2167-20130325_133335,6,0.6,20,0.030355555555555556,0.1111111111111111,0.0,0
dsat\voip-59bc8a2167-20130325_141345,6,0.75,16,0.07945,0.25,0.0,0
dsat\voip-59bc8a2167-20130328_113646,6,0.46153846153846156,26,0.055766666666666666,0.25,0.0,0
dsat\voip-59bc8a2167-20130328_115953,4,0.5714285714285714,14,0.13384000000000001,0.6,0.0,0
dsat\voip-59bc8a2167-20130328_125821,5,0.5,20,0.00965,0.125,0.0,0
dsat\voip-64150aca03-20130401_194320,10,0.6666666666666666,30,0.03543076923076924,0.23076923076923078,0.07692307692307693,0
dsat\voip-6d6587c57d-20130328_140525,2,0.25,16,0.1519625,0.5,0.0,0
dsat\voip-6d6587c57d-20130328_235137,6,0.6666666666666666,18,0.008150000000000004,0.125,0.125,0
dsat\voip-6d6587c57d-20130329_000439,0,0.0,10,0.0,0.0,0.0,0
dsat\voip-6dbc3573bc-20130328_192107,0,0.0,10,0.01544,0.2,0.0,0
dsat\voip-78f497f314-20130323_144347,6,0.5,24,-0.02102,0.1,0.2,0
dsat\voip-78f497f314-20130323_183806,0,0.0,6,0.0,0.0,0.0,0
dsat\voip-78f497f314-20130324_140601,2,0.25,16,0.00965,0.125,0.0,0
dsat\voip-78f497f314-20130324_201025,4,0.6666666666666666,12,0.13586666666666666,0.3333333333333333,0.16666666666666666,0
dsat\voip-78f497f314-20130324_201923,3,0.5,12,0.16935,0.5,0.0,0
dsat\voip-78f497f314-20130324_203349,4,0.6666666666666666,12,0.04933333333333333,0.16666666666666666,0.0,0
dsat\voip-7e07d8f0f5-20130327_174435,3,0.42857142857142855,14,0.07254285714285715,0.2857142857142857,0.14285714285714285,0
dsat\voip-7e07d8f0f5-20130327_175512,3,0.5,12,0.059199999999999996,0.2,0.0,0
dsat\voip-7e07d8f0f5-20130328_190156,11,0.8461538461538461,26,0.2325375,0.625,0.0,0
dsat\voip-7e07d8f0f5-20130328_190516,8,0.5714285714285714,28,0.055766666666666666,0.25,0.0,0
dsat\voip-7e07d8f0f5-20130328_190850,10,0.8333333333333334,24,-0.0022799999999999986,0.1,0.1,0
